Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id
pollen,6,1,3848,2,0,1924,871
Sick_numeric,30,1,3772,2,0,231,41946
jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005
led24,25,25,3200,10,0,296,40677
led7,8,8,3200,10,0,270,40678
kr-vs-kp,37,37,3196,2,0,1527,3
splice,61,61,3190,3,0,767,46
space_ga,7,1,3107,2,0,1541,737
seismic-bumps,19,5,2584,2,0,170,45562
ozone-level-8hr,73,1,2534,2,0,160,1487
jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007
jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999
segment,20,1,2310,7,0,330,36
Titanic,4,1,2201,2,0,711,40704
quake,4,1,2178,2,0,969,772
kc1,22,1,2109,2,0,326,1067
balloon,2,1,2001,2,0,482,914
mfeat-fourier,77,1,2000,10,0,200,14
ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,73,1,2000,2,0,126,44548
mfeat-karhunen,65,1,2000,10,0,200,16
jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,1,2000,2,0,1000,44428
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,45,2000,2,0,1000,44443
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,52,1,2000,6,0,159,44663
MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,51,1,2000,2,0,1000,44412
KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,50,16,2000,2,0,1000,44463
ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,49,1,2000,2,0,496,44568
mfeat-zernike,48,1,2000,10,0,200,22
connect-4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,43,43,2000,3,0,191,44703
kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,37,37,2000,2,0,956,44643
road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,4,2000,2,0,1000,44453
GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,1,2000,5,0,202,44668
PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,31,31,2000,2,0,886,44673
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,27,1,2000,2,0,1000,44382
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,25,1,2000,2,0,1000,44417
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,24,4,2000,2,0,1000,44438
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,990,44493
kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,309,44628
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,1,2000,2,0,1000,44392
churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,5,2000,2,0,283,44658
compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,18,10,2000,2,0,1000,44458
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,2,0,1000,44387
segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,7,0,285,44633
adult_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,242,479,44723
adult_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,248,479,44724
adult_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,279,479,44725
adult_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,254,479,44726
adult_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,15,9,2000,2,253,479,44727
rl_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,13,8,2000,2,0,1000,44448
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,12,1,2000,2,0,1000,44367
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,9,1,2000,2,0,1000,44362
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,8,1,2000,2,0,1000,44372
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,8,5,2000,2,0,891,44528
mfeat-morphological,7,1,2000,10,0,200,18
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,7,1,2000,3,0,194,44718
phoneme_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,6,1,2000,2,0,1000,44407
wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,6,1,2000,2,0,108,44488
steel-plates-fault,34,1,1941,2,0,673,1504
steel-plates-fault_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,28,1,1941,7,0,55,44503
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,21,21,1600,2,0,800,40646
pc3,38,1,1563,2,0,160,1050
cmc,10,8,1473,3,0,333,23
cmc_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,10,8,1473,3,0,333,44613
pc4,38,1,1458,2,0,178,1049
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,38,1,1458,2,0,178,44608
banknote-authentication,5,1,1372,2,0,610,1462
analcatdata_halloffame,17,2,1340,2,20,125,966
mofn-3-7-10,11,11,1324,2,0,292,40680
socmob,6,5,1156,2,0,256,934
parity5_plus_5,11,11,1124,2,0,557,40706
PieChart3,38,1,1077,2,0,134,1453
qsar-biodeg,42,1,1055,2,0,356,1494
qsar-biodeg_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,42,1,1055,2,0,356,44598
PizzaCutter3,38,1,1043,2,0,127,1444
rmftsa_sleepdata,3,1,1024,4,0,94,679
credit-g,21,14,1000,2,0,300,31
dummy,7,1,1000,2,0,273,45604
xd6,10,10,973,2,0,322,40693
tokyo1,45,3,959,2,0,346,40705
